Time Flux Fluxerr
1524.807160589 1.000000551 0.000851462
1524.827994323 1.0005183 0.000851238
1524.848828055 0.998134408 0.000852453
1524.869661786 0.998466644 0.000852212
1524.890495516 0.998255491 0.000852354
1524.911329246 0.998797841 0.000852136
1524.932162974 1.000073591 0.000851507
1524.952996702 1.000131979 0.000851448
1524.973830428 0.99892297 0.000852099
1524.994664154 1.000740381 0.000851268
1525.015497879 0.998204907 0.000852363
1525.036331603 0.998126246 0.000852419
1525.057165326 1.0005284 0.000851317
1525.077999048 1.000216976 0.000851419
1525.098832769 0.999522933 0.00085182
1525.119666489 1.000204344 0.000851569
1525.140500209 0.998728078 0.000852227
1525.161333927 0.998197477 0.000852542
1525.182167645 0.99989857 0.000851721
1525.203001361 1.000270199 0.00085161
1525.223835077 0.99926418 0.000852074
1525.244668791 0.99882458 0.000852318
1525.265502505 0.99876389 0.0008523
1525.286336218 1.000364292 0.0008516
1525.30716993 0.99924314 0.000852108
1525.328003641 0.999827177 0.00085182
1525.34883735 1.000495284 0.000851497
1525.36967106 1.000554907 0.000851512
1525.390504768 0.998605374 0.000852384
1525.411338475 0.999726355 0.000851889
1525.432172181 0.999970285 0.000851785
1525.453005886 0.999626019 0.000851959
1525.47383959 0.99990956 0.000851848
1525.494673294 1.000276547 0.000851687
1525.515506996 1.000722988 0.000851447
1525.536340697 0.998981887 0.000852255
1525.557174398 1.000388596 0.000851749
1525.578008097 0.998656156 0.000852398
1525.598841796 0.999872542 0.000851829
1525.619675493 0.999579314 0.000851949
1525.64050919 0.998733332 0.00085237
1525.661342885 0.999826444 0.000851819
1525.68217658 1.000503187 0.000851604
1525.703010274 0.999626435 0.000851955
1525.723843967 0.99995647 0.000851862
1525.744677658 1.001703934 0.000851088
1525.765511349 0.999117672 0.000852256
1525.786345039 0.999025536 0.00085233
1525.807178728 0.999656849 0.000852086
1525.828012415 1.001634636 0.000851138
1525.848846102 1.000085653 0.000851796
1525.869679788 1.000567035 0.000851666
1525.890513473 1.000218404 0.000851779
1525.911347156 0.998911174 0.000852432
1525.932180839 1.000430475 0.000851683
1525.953014521 0.999059263 0.000852327
1525.973848202 0.998658588 0.000852498
1525.994681882 0.999893356 0.000851899
1526.01551556 1.000711398 0.000851553
1526.036349238 0.998337774 0.000852621
1526.057182915 0.999280179 0.000852224
1526.078016591 1.000561981 0.000851639
1526.098850266 1.00008023 0.000851852
1526.119683939 0.999067764 0.000852283
1526.140517612 0.999556807 0.000852049
1526.161351279 0.998069053 0.000852732
1526.18218495 0.998844155 0.00085239
1526.20301862 1.000189183 0.000851761
1526.223852288 1.000456197 0.000851612
1526.244685956 0.997706864 0.000852846
1526.265519622 1.000315028 0.000851695
1526.286353288 1.000604478 0.000851529
1526.307186952 1.000156799 0.000851727
1526.328020616 0.999535746 0.000852019
1526.348854278 0.998250808 0.000852645
1526.369687939 0.999093913 0.000852258
1526.3905216 0.999990615 0.000851876
1526.411355259 0.999053983 0.000852366
1526.432188917 1.00037703 0.000851763
1526.453022574 1.00007851 0.000851852
1526.47385623 1.000033697 0.000851912
1526.494689885 0.999126547 0.000852301
1526.515523539 0.998995002 0.000852393
1526.536357192 0.998975067 0.000852403
1526.557190843 0.9998416 0.000851957
1526.578024494 0.999860663 0.000852005
1526.598858143 0.999447069 0.000852128
1526.619691792 1.000482124 0.000851652
1526.640525439 0.999915561 0.000851965
1526.661359085 0.999553982 0.000852092
1526.682192731 1.000381717 0.000851777
1526.703026375 0.999871662 0.000852004
1526.723665649 NA NA
1526.74449898233 NA NA
1526.76533231567 NA NA
1526.786165649 NA NA
1526.80699898233 NA NA
1526.82783231567 NA NA
1526.848665649 NA NA
1526.86949898233 NA NA
1526.89033231567 NA NA
1526.911165649 NA NA
1526.93199898233 NA NA
1526.95283231567 NA NA
1526.973665649 NA NA
1526.99449898233 NA NA
1527.01533231567 NA NA
1527.036165649 NA NA
1527.05699898233 NA NA
1527.07783231567 NA NA
1527.098665649 NA NA
1527.11949898233 NA NA
1527.14033231567 NA NA
1527.161165649 NA NA
1527.18199898233 NA NA
1527.20283231567 NA NA
1527.223665649 NA NA
1527.24449898233 NA NA
1527.26533231567 NA NA
1527.286165649 NA NA
1527.30699898233 NA NA
1527.32783231567 NA NA
1527.348665649 NA NA
1527.36949898233 NA NA
1527.39033231567 NA NA
1527.411165649 NA NA
1527.43199898233 NA NA
1527.45283231567 NA NA
1527.473665649 NA NA
1527.49449898233 NA NA
1527.51533231567 NA NA
1527.536165649 NA NA
1527.55699898233 NA NA
1527.57783231567 NA NA
1527.598665649 NA NA
1527.61949898233 NA NA
1527.64033231567 NA NA
1527.661165649 NA NA
1527.68199898233 NA NA
1527.70283231567 NA NA
1527.723665649 NA NA
1527.74449898233 NA NA
1527.76533231567 NA NA
1527.786165649 NA NA
1527.80699898233 NA NA
1527.82783231567 NA NA
1527.848665649 NA NA
1527.86949898233 NA NA
1527.89033231567 NA NA
1527.911165649 NA NA
1527.93199898233 NA NA
1527.95283231567 NA NA
1527.973665649 NA NA
1527.99449898233 NA NA
1528.01533231567 NA NA
1528.036165649 NA NA
1528.05699898233 NA NA
1528.07783231567 NA NA
1528.098665649 NA NA
1528.11949898233 NA NA
1528.14033231567 NA NA
1528.161165649 NA NA
1528.18199898233 NA NA
1528.20283231567 NA NA
1528.223665649 NA NA
1528.24449898233 NA NA
1528.26533231567 NA NA
1528.286165649 NA NA
1528.30699898233 NA NA
1528.32783231567 NA NA
1528.348665649 NA NA
1528.36949898233 NA NA
1528.39033231567 NA NA
1528.411165649 NA NA
1528.43199898233 NA NA
1528.45283231567 NA NA
1528.473665649 NA NA
1528.49449898233 NA NA
1528.51533231567 NA NA
1528.536165649 NA NA
1528.55699898233 NA NA
1528.57783231567 NA NA
1528.598665649 NA NA
1528.61949898233 NA NA
1528.64033231567 NA NA
1528.661165649 NA NA
1528.68199898233 NA NA
1528.70283231567 NA NA
1528.723665649 NA NA
1528.74449898233 NA NA
1528.76533231567 NA NA
1528.786165649 NA NA
1528.80699898233 NA NA
1528.82783231567 NA NA
1528.848665649 NA NA
1528.86949898233 NA NA
1528.89033231567 NA NA
1528.911165649 NA NA
1528.93199898233 NA NA
1528.95283231567 NA NA
1528.973665649 NA NA
1528.99449898233 NA NA
1529.01533231567 NA NA
1529.036165649 NA NA
1529.05699898233 NA NA
1529.07783231567 NA NA
1529.098665649 NA NA
1529.11949898233 NA NA
1529.14033231567 NA NA
1529.161165649 NA NA
1529.18199898233 NA NA
1529.20283231567 NA NA
1529.223665649 NA NA
1529.24449898233 NA NA
1529.26533231567 NA NA
1529.286165649 NA NA
1529.30699898233 NA NA
1529.32783231567 NA NA
1529.348665649 NA NA
1529.36949898233 NA NA
1529.39033231567 NA NA
1529.411165649 NA NA
1529.43199898233 NA NA
1529.45283231567 NA NA
1529.473665649 NA NA
1529.49449898233 NA NA
1529.51533231567 NA NA
1529.536165649 NA NA
1529.55699898233 NA NA
1529.57783231567 NA NA
1529.598665649 NA NA
1529.61949898233 NA NA
1529.64033231567 NA NA
1529.661165649 NA NA
1529.68199898233 NA NA
1529.70283231567 NA NA
1529.723665649 NA NA
1529.74449898233 NA NA
1529.76533231567 NA NA
1529.786165649 NA NA
1529.80699898233 NA NA
1529.82783231567 NA NA
1529.848665649 NA NA
1529.86949898233 NA NA
1529.89033231567 NA NA
1529.911165649 NA NA
1529.93199898233 NA NA
1529.95283231567 NA NA
1529.973665649 NA NA
1529.99449898233 NA NA
1530.01533231567 NA NA
1530.036165649 NA NA
1530.05699898233 NA NA
1530.07783231567 NA NA
1530.098665649 NA NA
1530.11949898233 NA NA
1530.14033231567 NA NA
1530.161165649 NA NA
1530.18199898233 NA NA
1530.20283231567 NA NA
1530.223665649 NA NA
1530.24449898233 NA NA
1530.26533231567 NA NA
1530.286165649 NA NA
1530.30699898233 NA NA
1530.32783231567 NA NA
1530.348665649 NA NA
1530.36949898233 NA NA
1530.39033231567 NA NA
1530.411165649 NA NA
1530.43199898233 NA NA
1530.45283231567 NA NA
1530.473665649 NA NA
1530.49449898233 NA NA
1530.51533231567 NA NA
1530.536165649 NA NA
1530.55699898233 NA NA
1530.57783231567 NA NA
1530.598665649 NA NA
1530.61949898233 NA NA
1530.64033231567 NA NA
1530.661165649 NA NA
1530.68199898233 NA NA
1530.70283231567 NA NA
1530.723665649 NA NA
1530.74449898233 NA NA
1530.76533231567 NA NA
1530.786165649 NA NA
1530.80699898233 NA NA
1530.82783231567 NA NA
1530.848665649 NA NA
1530.86949898233 NA NA
1530.89033231567 NA NA
1530.911165649 NA NA
1530.93199898233 NA NA
1530.95283231567 NA NA
1530.973665649 NA NA
1530.99449898233 NA NA
1531.01533231567 NA NA
1531.036165649 NA NA
1531.05699898233 NA NA
1531.07783231567 NA NA
1531.098665649 NA NA
1531.11949898233 NA NA
1531.14033231567 NA NA
1531.161165649 NA NA
1531.18199898233 NA NA
1531.20283231567 NA NA
1531.223665649 NA NA
1531.24449898233 NA NA
1531.26533231567 NA NA
1531.286165649 NA NA
1531.30699898233 NA NA
1531.32783231567 NA NA
1531.348665649 NA NA
1531.36949898233 NA NA
1531.39033231567 NA NA
1531.411165649 NA NA
1531.43199898233 NA NA
1531.45283231567 NA NA
1531.473665649 NA NA
1531.49449898233 NA NA
1531.51533231567 NA NA
1531.536165649 NA NA
1531.55699898233 NA NA
1531.57783231567 NA NA
1531.598665649 NA NA
1531.61949898233 NA NA
1531.64033231567 NA NA
1531.661165649 NA NA
1531.68199898233 NA NA
1531.70283231567 NA NA
1531.723665649 NA NA
1531.74449898233 NA NA
1531.76533231567 NA NA
1531.786165649 NA NA
1531.80699898233 NA NA
1531.82783231567 NA NA
1531.848665649 NA NA
1531.86949898233 NA NA
1531.89033231567 NA NA
1531.911165649 NA NA
1531.93199898233 NA NA
1531.95283231567 NA NA
1531.973665649 NA NA
1531.99449898233 NA NA
1532.01533231567 NA NA
1532.036165649 NA NA
1532.05699898233 NA NA
1532.07783231567 NA NA
1532.098665649 NA NA
1532.11949898233 NA NA
1532.14033231567 NA NA
1532.161165649 NA NA
1532.18199898233 NA NA
1532.20283231567 NA NA
1532.223665649 NA NA
1532.24449898233 NA NA
1532.26533231567 NA NA
1532.286165649 NA NA
1532.30699898233 NA NA
1532.32783231567 NA NA
1532.348665649 NA NA
1532.36949898233 NA NA
1532.39033231567 NA NA
1532.411165649 NA NA
1532.43199898233 NA NA
1532.45283231567 NA NA
1532.473665649 NA NA
1532.49449898233 NA NA
1532.51533231567 NA NA
1532.536165649 NA NA
1532.55699898233 NA NA
1532.57783231567 NA NA
1532.598665649 NA NA
1532.61949898233 NA NA
1532.64033231567 NA NA
1532.661165649 NA NA
1532.68199898233 NA NA
1532.70283231567 NA NA
1532.723665649 NA NA
1532.74449898233 NA NA
1532.76533231567 NA NA
1532.786165649 NA NA
1532.80699898233 NA NA
1532.82783231567 NA NA
1532.848665649 NA NA
1532.86949898233 NA NA
1532.89033231567 NA NA
1532.911165649 NA NA
1532.93199898233 NA NA
1532.95283231567 NA NA
1532.973665649 NA NA
1532.99449898233 NA NA
1533.01533231567 NA NA
1533.036165649 NA NA
1533.05699898233 NA NA
1533.07783231567 NA NA
1533.098665649 NA NA
1533.11949898233 NA NA
1533.14033231567 NA NA
1533.161165649 NA NA
1533.18199898233 NA NA
1533.20283231567 NA NA
1533.223665649 NA NA
1533.24449898233 NA NA
1533.26533231567 NA NA
1533.286165649 NA NA
1533.30699898233 NA NA
1533.32783231567 NA NA
1533.348665649 NA NA
1533.36949898233 NA NA
1533.39033231567 NA NA
1533.411165649 NA NA
1533.43199898233 NA NA
1533.45283231567 NA NA
1533.473665649 NA NA
1533.49449898233 NA NA
1533.51533231567 NA NA
1533.536165649 NA NA
1533.55699898233 NA NA
1533.57783231567 NA NA
1533.598665649 NA NA
1533.61949898233 NA NA
1533.64033231567 NA NA
1533.661165649 NA NA
1533.68199898233 NA NA
1533.70283231567 NA NA
1533.723665649 NA NA
1533.74449898233 NA NA
1533.76533231567 NA NA
1533.786165649 NA NA
1533.80699898233 NA NA
1533.82783231567 NA NA
1533.848665649 NA NA
1533.86949898233 NA NA
1533.89033231567 NA NA
1533.911165649 NA NA
1533.93199898233 NA NA
1533.95283231567 NA NA
1533.973665649 NA NA
1533.99449898233 NA NA
1534.01533231567 NA NA
1534.036165649 NA NA
1534.05699898233 NA NA
1534.07783231567 NA NA
1534.098665649 NA NA
1534.11949898233 NA NA
1534.14033231567 NA NA
1534.161165649 NA NA
1534.18199898233 NA NA
1534.20283231567 NA NA
1534.223665649 NA NA
1534.24449898233 NA NA
1534.26533231567 NA NA
1534.286165649 NA NA
1534.30699898233 NA NA
1534.32783231567 NA NA
1534.348665649 NA NA
1534.36949898233 NA NA
1534.39033231567 NA NA
1534.411165649 NA NA
1534.43199898233 NA NA
1534.45283231567 NA NA
1534.473665649 NA NA
1534.49449898233 NA NA
1534.51533231567 NA NA
1534.536165649 NA NA
1534.55699898233 NA NA
1534.57783231567 NA NA
1534.598665649 NA NA
1534.61949898233 NA NA
1534.64033231567 NA NA
1534.661165649 NA NA
1534.68199898233 NA NA
1534.70283231567 NA NA
1534.723665649 NA NA
1534.74449898233 NA NA
1534.76533231567 NA NA
1534.786165649 NA NA
1534.80699898233 NA NA
1534.82783231567 NA NA
1534.848665649 NA NA
1534.86949898233 NA NA
1534.89033231567 NA NA
1534.911165649 NA NA
1534.93199898233 NA NA
1534.95283231567 NA NA
1534.973665649 NA NA
1534.99449898233 NA NA
1535.01533231567 NA NA
1535.036165649 NA NA
1535.05699898233 NA NA
1535.07783231567 NA NA
1535.098665649 NA NA
1535.11949898233 NA NA
1535.14033231567 NA NA
1535.161165649 NA NA
1535.18199898233 NA NA
1535.20283231567 NA NA
1535.223665649 NA NA
1535.24449898233 NA NA
1535.26533231567 NA NA
1535.286165649 NA NA
1535.30699898233 NA NA
1535.32783231567 NA NA
1535.348665649 NA NA
1535.36949898233 NA NA
1535.39033231567 NA NA
1535.411165649 NA NA
1535.43199898233 NA NA
1535.45283231567 NA NA
1535.473665649 NA NA
1535.49449898233 NA NA
1535.51533231567 NA NA
1535.536165649 NA NA
1535.55699898233 NA NA
1535.57783231567 NA NA
1535.598665649 NA NA
1535.61949898233 NA NA
1535.64033231567 NA NA
1535.661165649 NA NA
1535.68199898233 NA NA
1535.70283231567 NA NA
1535.723665649 NA NA
1535.74449898233 NA NA
1535.76533231567 NA NA
1535.786165649 NA NA
1535.80699898233 NA NA
1535.82783231567 NA NA
1535.848665649 NA NA
1535.86949898233 NA NA
1535.89033231567 NA NA
1535.911165649 NA NA
1535.93199898233 NA NA
1535.95283231567 NA NA
1535.973665649 NA NA
1535.99449898233 NA NA
1536.01533231567 NA NA
1536.036165649 NA NA
1536.05699898233 NA NA
1536.07783231567 NA NA
1536.098665649 NA NA
1536.11949898233 NA NA
1536.14033231567 NA NA
1536.161165649 NA NA
1536.18199898233 NA NA
1536.20283231567 NA NA
1536.223665649 NA NA
1536.24449898233 NA NA
1536.26533231567 NA NA
1536.286165649 NA NA
1536.30699898233 NA NA
1536.32783231567 NA NA
1536.348665649 NA NA
1536.36949898233 NA NA
1536.39033231567 NA NA
1536.411165649 NA NA
1536.43199898233 NA NA
1536.45283231567 NA NA
1536.473665649 NA NA
1536.49449898233 NA NA
1536.51533231567 NA NA
1536.536165649 NA NA
1536.55699898233 NA NA
1536.57783231567 NA NA
1536.598665649 NA NA
1536.61949898233 NA NA
1536.64033231567 NA NA
1536.661165649 NA NA
1536.68199898233 NA NA
1536.70283231567 NA NA
1536.723665649 NA NA
1536.74449898233 NA NA
1536.76533231567 NA NA
1536.786165649 NA NA
1536.80699898233 NA NA
1536.82783231567 NA NA
1536.848665649 NA NA
1536.86949898233 NA NA
1536.89033231567 NA NA
1536.911165649 NA NA
1536.93199898233 NA NA
1536.95283231567 NA NA
1536.973665649 NA NA
1536.99449898233 NA NA
1537.01533231567 NA NA
1537.036165649 NA NA
1537.05699898233 NA NA
1537.07783231567 NA NA
